group (likely analyzer),histogram
Other / uncategorized,RecoilDQM/pt_bending
Other / uncategorized,RecoilDQM/pull_d0
Other / uncategorized,RecoilDQM/pull_d0_vs_p
Other / uncategorized,RecoilDQM/pull_p
Other / uncategorized,RecoilDQM/pull_phi
Other / uncategorized,RecoilDQM/pull_phi_vs_p
Other / uncategorized,RecoilDQM/pull_qop
Other / uncategorized,RecoilDQM/pull_qop_vs_p
Other / uncategorized,RecoilDQM/pull_theta
Other / uncategorized,RecoilDQM/pull_theta_vs_p
Other / uncategorized,RecoilDQM/pull_z0
Other / uncategorized,RecoilDQM/pull_z0_vs_p
Other / uncategorized,RecoilDQM/px
Other / uncategorized,RecoilDQM/py
Other / uncategorized,RecoilDQM/pz
Other / uncategorized,RecoilDQM/qop
Other / uncategorized,RecoilDQM/qop_err
Other / uncategorized,RecoilDQM/res_d0
Other / uncategorized,RecoilDQM/res_d0_vs_p
Other / uncategorized,RecoilDQM/res_p
Other / uncategorized,RecoilDQM/res_p_vs_p
Other / uncategorized,RecoilDQM/res_p_vs_p_10hits
Other / uncategorized,RecoilDQM/res_p_vs_p_8hits
Other / uncategorized,RecoilDQM/res_p_vs_p_9hits
Other / uncategorized,RecoilDQM/res_phi
Other / uncategorized,RecoilDQM/res_phi_vs_p
Other / uncategorized,RecoilDQM/res_pt_beam
Other / uncategorized,RecoilDQM/res_pt_beam_vs_p
Other / uncategorized,RecoilDQM/res_qop
Other / uncategorized,RecoilDQM/res_qop_vs_p
Other / uncategorized,RecoilDQM/res_theta
Other / uncategorized,RecoilDQM/res_theta_vs_p
Other / uncategorized,RecoilDQM/res_z0
Other / uncategorized,RecoilDQM/res_z0_vs_p
Other / uncategorized,RecoilDQM/target_Pulls_of_loc0
Other / uncategorized,RecoilDQM/target_Pulls_of_loc1
Other / uncategorized,RecoilDQM/target_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilDQM/target_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilDQM/target_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilDQM/target_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilDQM/target_res_loc0-vs-N_hits
Other / uncategorized,RecoilDQM/target_res_loc0-vs-trk_p
Other / uncategorized,RecoilDQM/target_res_loc1-vs-N_hits
Other / uncategorized,RecoilDQM/target_res_loc1-vs-trk_p
Other / uncategorized,RecoilDQM/target_sp_hit_X
Other / uncategorized,RecoilDQM/target_sp_hit_Y
Other / uncategorized,RecoilDQM/theta
Other / uncategorized,RecoilDQM/theta_err
Other / uncategorized,RecoilDQM/trk_ecal_loc0
